大陆,#genre#
GOOD TV CH29 經典音樂河,https://live.streamingfast.net/osmflivech29.m3u8
GOOD TV CH3 真情部落格 短版,https://live.streamingfast.net/osmflivech3.m3u8
GOOD TV CH30 天堂敬拜,https://live.streamingfast.net/osmflivech30.m3u8
GOOD TV CH31 福音佈道音樂會,https://live.streamingfast.net/osmflivech31.m3u8
GOOD TV CH32 特會系列：禱告與轉化,https://live.streamingfast.net/osmflivech32.m3u8
GOOD TV CH33 特會系列：研經培靈,https://live.streamingfast.net/osmflivech33.m3u8
GOOD TV CH36 特會系列：超自然大能．醫治釋放,https://live.streamingfast.net/osmflivech36.m3u8
GOOD TV CH37 特會系列：以色列專題,https://live.streamingfast.net/osmflivech37.m3u8
GOOD TV CH38 特會系列：青年特會,https://live.streamingfast.net/osmflivech38.m3u8
GOOD TV CH40 家庭8點檔轉轉發現愛,https://live.streamingfast.net/osmflivech40.m3u8
GOOD TV CH41 幸福學堂,https://live.streamingfast.net/osmflivech41.m3u8
GOOD TV CH44 烤箱讀書會,https://live.streamingfast.net/osmflivech44.m3u8
GOOD TV CH45 卡通,https://live.streamingfast.net/osmflivech45.m3u8
GOOD TV CH49 禱告頻道,https://live.streamingfast.net/osmflivech49.m3u8
GOOD TV CH5 共享觀點 短版,https://live.streamingfast.net/osmflivech5.m3u8
GOOD TV CH50 國際講員 中文發音,https://live.streamingfast.net/osmflivech50.m3u8
GOOD TV CH7 禱告大軍 信息,https://live.streamingfast.net/osmflivech7.m3u8
GOOD TV CH8 幸福學堂 短版,https://live.streamingfast.net/osmflivech8.m3u8
GOOD TV CH9 愛+好醫生 短版,https://live.streamingfast.net/osmflivech9.m3u8
TVBS新聞台,http://60.199.188.65/HLS/WG_TVBS-N/index.m3u8
TVBS歡樂台,http://220.158.149.14:9999/live/TV00000000000000000079@HHZT;LIVE
三立新聞台,http://60.199.188.65/HLS/WG_ETTV-N/index.m3u8
公視三台,https://usb.bozztv.com/ssh101/PTSTV3HD/PTSTV3HD/playlist.m3u8
台視財經台,https://usb.bozztv.com/ssh101/TTVHD/TTVHD/index.m3u8
壹電視新聞台,https://usb.bozztv.com/ssh101/NEXTTVHD/NEXTTVHD/playlist.m3u8
希望電視台,https://bcliveuniv-lh.akamaihd.net/i/Live_1@384161/master.m3u8
民視新聞台,https://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
緯來精采台,https://usb.bozztv.com/ssh101/ttvbHD/ttvbHD/index.m3u8
緯來體育台,http://220.158.149.14:9999/live/TV00000000000000000078@HHZT;LIVE

香港,#genre#
亞旅衛視,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
星空衛視,rtmp://58.200.131.2:1935/livetv/startv
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
鳳凰衛視中文台,http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8
鳳凰衛視資訊台HD,http://117.169.120.138:8080/live/fhzixun/.m3u8

综合,#genre#
CCTV中国中央电视台-1 综合,http://117.148.187.37/PLTV/88888888/224/3221226154/index.m3u8#http://117.169.120.140:8080/live/cctv-1/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-1/1.m3u8#http://125.210.152.10:8060/live/CCTV1HD_H265.m3u8#http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV中国中央电视台-4 中文国际,http://117.148.187.37/PLTV/88888888/224/3221226171/index.m3u8#http://117.169.120.140:8080/live/cctv-4/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-4/1.m3u8
公視三台,https://usb.bozztv.com/ssh101/PTSTV3HD/PTSTV3HD/playlist.m3u8
星空衛視,rtmp://58.200.131.2:1935/livetv/startv

教育,#genre#
CCTV中国中央电视台-10 科教,http://117.169.120.140:8080/live/cctv-10/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-10/yst.m3u8

其他类别,#genre#
CCTV中国中央电视台-11 戏曲,http://117.148.187.37/PLTV/88888888/224/3221226219/index.m3u8#http://117.169.120.140:8080/live/cctv-11/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-11/1.m3u8
CCTV中国中央电视台-12 社会与法制,http://117.148.187.37/PLTV/88888888/224/3221226167/index.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-12/1.m3u8
CCTV中国中央电视台-2 财经,http://117.148.187.37/PLTV/88888888/224/3221226138/index.m3u8#http://117.169.120.140:8080/live/cctv-2/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-2/1.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-2/yst.m3u8#http://125.210.152.10:8060/live/CCTV2HD_H265.m3u8#http://ivi.bupt.edu.cn/hls/cctv2.m3u8
CCTV中国中央电视台-7 国防军事,http://117.148.187.37/PLTV/88888888/224/3221226122/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226470/index.m3u8#http://117.169.120.140:8080/live/cctv-7/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-7/1.m3u8
CCTV中国中央电视台-8 电视剧,http://117.148.187.37/PLTV/88888888/224/3221226493/index.m3u8#http://117.169.120.140:8080/live/cctv-8/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-8/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv8.m3u8#http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
NewTV未来电视 中国功夫 (Backup),http://121.31.30.90:8085/ysten-business/live/SD-1500k-576P-gzkongfu/1.m3u8
NewTV未来电视 军事评论 (Backup),http://121.31.30.90:8085/ysten-business/live/junshipl/1.m3u8
NewTV未来电视 军旅剧场,http://121.31.30.90:8085/ysten-business/live/junlvjc/1.m3u8
NewTV未来电视 农业致富,http://121.31.30.90:8085/ysten-business/live/nongyezf/1.m3u8
NewTV未来电视 家庭剧场 (Backup),http://121.31.30.90:8085/ysten-business/live/jiatingjc/1.m3u8
NewTV未来电视 搏击 (Backup),http://121.31.30.90:8085/ysten-business/live/SD-1500k-576P-bokesen/1.m3u8
NewTV未来电视 明星大片 (Backup),http://117.148.187.37/PLTV/88888888/224/3221226751/index.m3u8#http://121.31.30.90:8085/ysten-business/live/mingxingdp/1.m3u8
NewTV未来电视 潮妈辣婆,http://117.148.187.37/PLTV/88888888/224/3221226666/index.m3u8
NewTV未来电视 炫舞未来,http://112.17.40.140/PLTV/88888888/224/3221226817/index.m3u8
NewTV未来电视 精品大剧 (Backup),http://121.31.30.90:8085/ysten-business/live/jdaju/1.m3u8
百视通 BesTV 4K,http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8
迈视网,http://xinl.live.maxtv.cn/live/zb/playlist.m3u8
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
鳳凰衛視中文台,http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8

新闻,#genre#
CCTV中国中央电视台-13 新闻,http://117.148.187.37/PLTV/88888888/224/3221226193/index.m3u8#http://117.169.120.140:8080/live/cctv-13/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-13/1.m3u8
TVBS新聞台,http://60.199.188.65/HLS/WG_TVBS-N/index.m3u8
三立新聞台,http://60.199.188.65/HLS/WG_ETTV-N/index.m3u8
台視財經台,https://usb.bozztv.com/ssh101/TTVHD/TTVHD/index.m3u8
壹電視新聞台,https://usb.bozztv.com/ssh101/NEXTTVHD/NEXTTVHD/playlist.m3u8
民視新聞台,https://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
鳳凰衛視資訊台HD,http://117.169.120.138:8080/live/fhzixun/.m3u8

儿童,#genre#
CCTV中国中央电视台-14 少儿,http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226565/index.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-14/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv14.m3u8
黑莓动画 (Backup),http://121.31.30.90:8085/ysten-business/live/donghuawg/1.m3u8

音乐,#genre#
CCTV中国中央电视台-15 音乐,http://117.148.187.37/PLTV/88888888/224/3221226112/index.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-15/1.m3u8

娱乐,#genre#
CCTV中国中央电视台-3 综艺,http://117.169.120.140:8080/live/cctv-3/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-3/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
NewTV未来电视 金牌综艺 (Backup),http://121.31.30.90:8085/ysten-business/live/saishijx/1.m3u8
TVBS歡樂台,http://220.158.149.14:9999/live/TV00000000000000000079@HHZT;LIVE
緯來精采台,https://usb.bozztv.com/ssh101/ttvbHD/ttvbHD/index.m3u8

体育,#genre#
